measurement_id,city_id,weather_id,temperature,temp_min,temp_max,wind_speed,dt,sys_country,sys_sunrise,sys_sunset,timezone
1,3173435,800,18.48,16.86,20.47,3.09,2024-03-21 11:09:30,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600
2,3181927,800,18.68,16.28,19.8,2.06,2024-03-21 10:59:58,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600
3,2525471,801,18.54,17.71,19.41,4.63,2024-03-21 11:08:24,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600
4,3173435,800,18.48,16.86,20.47,3.09,2024-03-21 11:10:02,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600
5,3181927,800,18.95,17.44,20.36,2.06,2024-03-21 11:03:50,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600
6,2525471,801,18.54,17.71,19.41,4.63,2024-03-21 11:08:24,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600
7,3173435,801,19.51,18.14,21.91,3.6,2024-03-21 13:31:47,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600
8,3181927,800,20.28,19.1,22.02,2.57,2024-03-21 13:37:56,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600
9,2525471,801,18.12,17.71,20.05,6.69,2024-03-21 13:39:53,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600
10,3173435,801,19.51,18.14,21.91,3.6,2024-03-21 13:31:47,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600
11,3181927,800,20.28,19.1,22.02,2.57,2024-03-21 13:37:56,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600
12,2525471,801,18.12,17.71,20.05,6.69,2024-03-21 13:39:53,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600
13,727011,801,13.83,13.83,15.02,6.17,2024-03-21 13:39:07,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200
14,728193,803,17.04,17.04,17.04,6.69,2024-03-21 13:30:13,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200
15,3173435,800,18.86,17.59,19.99,4.63,2024-03-21 17:41:58,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600
16,3181927,800,17.84,15.02,18.67,2.06,2024-03-21 17:42:45,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600
17,2525471,800,16.17,15.08,17.75,4.12,2024-03-21 17:48:45,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600
18,727011,802,10.83,10.83,10.83,3.09,2024-03-21 17:45:52,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200
19,728193,803,12.04,12.04,13.17,6.17,2024-03-21 17:44:11,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200
20,3173435,800,18.86,17.59,19.99,4.63,2024-03-21 17:42:14,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600
21,3181927,800,17.5,15.02,17.85,2.06,2024-03-21 17:46:45,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600
22,2525471,800,15.97,15.88,17.75,3.6,2024-03-21 17:55:47,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600
23,727011,802,10.83,10.83,10.83,3.09,2024-03-21 17:47:43,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200
24,728193,803,12.04,12.04,13.17,6.17,2024-03-21 17:50:12,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200
25,3173435,800,18.44,16.72,19.99,4.63,2024-03-21 17:56:29,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600
26,3181927,800,17.75,15.02,18.67,2.06,2024-03-21 17:54:56,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600
27,2525471,800,15.97,15.88,17.75,3.6,2024-03-21 17:58:18,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600
28,727011,802,10.83,10.83,10.83,3.09,2024-03-21 17:57:16,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200
29,728193,803,12.04,12.04,13.17,6.17,2024-03-21 17:58:02,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200
30,3173435,800,18.44,16.72,19.99,4.63,2024-03-21 17:56:29,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600
31,3181927,800,17.75,15.02,18.67,2.06,2024-03-21 17:54:56,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600
32,2525471,800,15.97,15.88,17.75,3.6,2024-03-21 17:58:18,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600
33,727011,802,10.83,10.83,10.83,3.09,2024-03-21 17:57:16,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200
34,728193,803,12.04,12.04,13.17,6.17,2024-03-21 17:58:02,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200
35,3173435,800,18.44,16.72,19.99,4.63,2024-03-21 17:56:29,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600
36,3181927,800,17.75,15.02,18.67,2.06,2024-03-21 17:54:56,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600
37,2525471,800,15.97,15.88,17.75,3.6,2024-03-21 17:58:18,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600
38,727011,802,10.83,10.83,10.83,3.09,2024-03-21 17:57:16,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200
39,728193,803,12.04,12.04,13.17,6.17,2024-03-21 17:58:02,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200
40,3173435,800,18.44,16.72,19.99,4.63,2024-03-21 17:56:29,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600
41,3181927,800,17.75,15.02,18.67,2.06,2024-03-21 17:54:56,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600
42,2525471,800,15.97,15.88,17.75,3.6,2024-03-21 17:58:18,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600
43,727011,802,10.83,10.83,10.83,3.09,2024-03-21 17:57:16,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200
44,728193,803,12.04,12.04,13.17,6.17,2024-03-21 17:58:02,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200
45,3173435,800,18.44,16.49,19.99,4.63,2024-03-21 18:02:25,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600
46,3181927,800,17.75,15.02,18.26,2.06,2024-03-21 17:58:06,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600
47,2525471,800,15.46,14.88,17.19,4.12,2024-03-21 18:06:50,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600
48,727011,802,10.83,10.83,10.83,3.09,2024-03-21 18:02:40,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200
49,728193,803,10.04,10.04,10.17,4.63,2024-03-21 18:06:01,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200
50,3173435,800,18.44,16.49,19.99,4.63,2024-03-21 18:02:25,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600
51,3181927,800,17.48,15.02,18.26,2.06,2024-03-21 18:05:19,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600
52,2525471,800,15.46,14.88,17.19,4.12,2024-03-21 18:06:50,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600
53,727011,802,10.83,10.83,10.83,3.09,2024-03-21 18:02:40,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200
54,728193,803,10.04,10.04,10.17,4.63,2024-03-21 18:06:01,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200
55,3173435,800,18.44,16.49,19.99,4.63,2024-03-21 18:02:25,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600
56,3181927,800,17.48,15.02,18.26,2.06,2024-03-21 18:05:19,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600
57,2525471,800,15.46,14.88,17.19,4.12,2024-03-21 18:06:50,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600
58,727011,802,10.83,10.83,10.83,3.09,2024-03-21 18:02:40,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200
59,728193,803,10.04,10.04,10.17,4.63,2024-03-21 18:06:01,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200
60,3173435,800,18.44,16.49,19.99,4.63,2024-03-21 18:02:25,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600
61,3181927,800,17.48,15.02,18.26,2.06,2024-03-21 18:05:19,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600
62,2525471,800,15.46,14.88,17.19,4.12,2024-03-21 18:06:50,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600
63,727011,802,10.83,10.83,10.83,3.09,2024-03-21 18:02:40,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200
64,728193,803,10.04,10.04,10.17,4.63,2024-03-21 18:06:01,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200
65,3173435,800,17.99,15.92,19.61,4.12,2024-03-21 18:18:10,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600
66,3181927,800,17.51,15.02,18.27,2.06,2024-03-21 18:13:59,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600
67,2525471,800,15.46,14.88,17.19,4.12,2024-03-21 18:09:04,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600
68,727011,802,10.83,8.91,10.83,3.09,2024-03-21 18:16:57,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200
69,728193,803,10.04,10.04,10.17,4.63,2024-03-21 18:16:39,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200
